Image,True Class,Noise,OCR Text,Characters,Words
0000998328.tif,form,rotation_5,"DC 420 I0-Tu7 CORPORATION KENTUCKY 40201 SAMPLE NANUFACIURE TraNSFER To MATERIAL Date of Request Account Number Copies Eo: Cosc Depc . Ractory ~Wricer Center Deye bnliol YuLL Hul Tax Scatus SampLe Carcons Zeid er_Eree o1200_eech Scock Db6 Ju Sample RED Mi Mechod of Shig Jeblv Cigerette scription Jautuo Onbhal ""Zan4 3257042, cions Comente Ingtruc etion Date Comp TobACCO WILLIAHSON BROWN LOUISVILLE, SPECIAL SHIPMENT REDUCED - 72282d opnent Lnl Digposision Quancie Pment 48X/co Jube 2286v0. 383634_anoe Ealalen ecdio Coatilh Speckol 620733904 Signed",550,81
0000998328.tif,form,rotation_10,"Date Depc . Yaccory 0 LL 1aui Tax Statusee or on Ae Dl Me Jecbv - Shi Cuq Rat, 0n6 Com? CORPORATION TobACCO 40201 WILLIASOH KENTUCKY LOUISVILLE, ACTURE BROWN MANUF F SAMPLE SHiPMENT 'ECIAL TraNSFER 23282d MATERIAL Request REDUCED `- Nunber Account Eo: Copfes Cosc Center ~HrIter opmenc Jin Deyel e LLLU `L Raid Cartons DLgpoaltic QuantIty, SampLe each 200 scock Sapple RED #iX/CO 228.6*0. Jube pment Aro chod auntuo"" 324034  seription lalo ""228,049, CLearecce _ Obml Aadoo ""gatilk Congenc& Instruceic Special 620733904 Oszh Signed Dace ecic",540,87
0000998328.tif,form,brightness,"DC 07I (B-7 B. BROWN & WILLIAMSON TOBACCQ CORPORATION LOUISVILLE, KENTUCKY 40201 SPECIAL  SAMPLE MANUFACTURE SKIPMENT TRANSFER REDUCED TO MATERIAL Copies Date of Request Factory Cost Dept . Account Number ZZZE2 ~Writer Deyelopnent Center MLu J2i SampLe_Disposicion Quantity_ Cartons Tax Status 200 ach Paid or_Free Sample Stock ReD 12s Mi Mechod of Shipment CigaretEe Description JulL-Jaxby Obial Zealuhin_ESlawiuoosnby abo w8ecY4. Eugatlh ~ccbec 877/482042 Specfal Instructions Comment & 620733904 Comp etion Date Signed co: frX/6O",532,74
0000998328.tif,form,contrast,"DC 072 BROWN WILLIAMSON TOBACCQ CORPORATION LOUISVILLE, KENTUCKX 40201 SPECIAL SAMPLE MANUFACTURE SKIPMENT TRANSFER REDUCED TO MATERIAL Copies Eo: Date of Request Factory Cost Dept . Account Number R228 ~Writer Deyelopnent Center LDU 0Ti SampLe_Disposicion Quantity_ Cartons Tax Status 200 ach Pai Free Samgle Stock R&D 1u Mi Mechod of Shipment CigaretEe Description Juil Jeblu Retel Zalabin_{slasuoosnly ao %8ee*4. Gsqatilh &cabo Egrotr;"" 4858042, Specfal Ins_ruccions Comment& 620733904 Coi? etion Date Signed xiX/",516,72
0000998820.tif,form,original,"DE 830 IATu BRONN 6OWIELIAMSON TOBACCO CORPORATION LOUISVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TAANSFER Copies to: REDUCFD T0 MATERIAL Factory Cost Dept Date Request Writery Account Number 2899700 Development Center Sample_Disposition of200 Cartons Tax Sc atus each Paid er Ereg Sanple Stock RED MR Method Shipment Gigarette_Description luet Cigarette Code 997015 Spectal cquctiong Comentg 620745311 Completion Date 5/21/81 Sgned SHT Suc Livesay Quant[tY, Fres Fluvor Elou Ing",494,68
0000998820.tif,form,gaussian_noise,"DE 838 IAFtu BROWN { OWILITAMSON TOBACCO CORPORATION LOUISVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TRANSFER Copies to: REDUCFD 10 MATERIAL {Cost Dept . Date Request Writer / Account Number 2899700 Deve opment Center Sue Livesay Sample Dispesicion Quantity, Cartons Tax St atus of 200 each Paid or Freg To_Sauple Stock RED MR Method Shipment Gigarette Description Flavor evalua Cigarette Code 997015 Special Instmuctiong 620745311 Completion Date 5/21/81 Signed SHT Factory 7res Elon Comente",506,74
0000998820.tif,form,salt_pepper,"BRONN: HICLIAYSON 'TOBACCO CORPORATLON LQUISVILLE; RENTiCKR 0,201 SPECIAI SAMFLE  MANUF GTiiRE SHiphient TRANSFER"" Gopies REDUCFD JQ MATERIAL Gast  Depl Dite cf Requese; Writer : Atcounf Numter Dev eTopiient Ccnter Sue_Liydfay 40228. Dl_posiiioh- Qusntity  artong Status of' 200_eteh 2aia or:Fres Suf21e 'Scock RED Hethoa of ' Shipnent- Gigareft DescrLpti rvor afetie 'Fode. 997013, :Special; Inst_ictfong 'Cormente 620745311 atplefion  Date 30214/81: SLgred SMII Factors Gto",475,63
0000998820.tif,form,gaussian_blur,"Bro-N jolnHtt  TORACCO CORPORATION KEnnCKI 40201 SPECIAL SAYPLE MANUFACTURE Shintient Taanseer @ Copfes E0; aeducFd 10 MATERiAL Coet Depe . Date Request Eriter Accoune Fumber 749n700 Developeent Ccnter Livcaa Sutplc_DIgpoaltLon QuantIty, Cartons Tax Scatua 200 cach Pafd or Fce To_Sacple_Stock RED Kethod 0f Shipeent CIkOrEt e_Deect Aptlon Flavor ealuatdon Cirafette Code 997015 Spectal Inatructiong & Coceent ! 620745311 Cozpletion Date 571 /81 Siened Fhini Factory Aae 4",472,67
0000998820.tif,form,motion_blur,,0,0
0000998820.tif,form,rotation_5,"BRONN 6 NILLIAMSONKEobaccQ COUZORATION LOUISVILLE; KENTUCKY SPECIAL SAYPLE MANUFACTURE SHIPMENT TAANSFER REDUCFD 10 MATERIAL Copies co: Dace of Request Account Number 2899/00 Factory Cost Depc . Writerv Development Center SuC Livebay Sample Disposicion Tax Scatus Quantity, Cartons or_Eree of 200 eech Squple Stock Frec RED MR Method of Shipment GLgarecce_Description Flavor evaluatLon Cigarette Code 997015 Special InsGrucciong Coment & 620745311 SHTI 5/21/81 Signed Completion Date Paid",488,66
0000998820.tif,form,rotation_10,"ACTURE SAMPLE T0 Dace co: Copies Cost Depc . Factory Deve Livesay Tax Free d 0 Di Cartons nee Stock RED Mr: De evalua' Flavor Cod e Comente Ins etion CORPORATION TOBACCO 40201 SON HILLAS KENTUCKY LOUISVILLE, BROAN MANUF SPECIAL SHIPMeNt TaANSFER MATERIAL Request REDUCFD 2892100 Number Accounc Vriterv Ccnter opment Sue Scatus sposiyion Pait Sample Quant[ty , euch 200 Sample Shipnent Hethod sCrLpGion CLgereete Elon 997015 Cigarecte brucciong Spectal 620745311 SHTI Signed 5/21/81 Dace Comp]",492,76
0000998820.tif,form,brightness,Dz @30 IAtu BRONN 6 WILLIAMSON TOBACCO CORPORATION LOUISVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TAANSFER Copies to: REDUCFD 10 MATERIAL Factory Cost Dept . Date Request Writery Accounc Number 2899700 Development Center Sample_Disposition Quantity_ Cartons Tax Sc atus of 200 egch Paid Freg Sample Stock RED Etee MR; Method of Shipment Gigarette_Description tion Cigarette Code 997015 Special crucciong 620745311 Completion Date 5/21/81 Signed SHIT Suc Liveso; Flovor Lur Ing Comentg,499,71
0000998820.tif,form,contrast,D3 @30 BRONN WILLIAMSON TOBACCO CORPORATION LOUISVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TAANSFER Copies to: REDUCFD 10 MATERIAL Factory Cost Dept . Date Request writery Accounc Number 2892700 Dcve ?pment Center Sample_Disposicion Quantity_ Cartons Tax St atus of 200 egch Paid Frec To_Sumple_Stock RED Zree MR; Method Shipment Gigarette_Description Cigarette Code 997015 Special rcciong 620745311 Comp etion Date 5/21/81 Signed SHITI Sue Livesj; Flovor Lur Eion Ing Commentg,492,69
0000998917.tif,form,original,"DC RJe BROWN & WILLIAKSON TORACCO CORPORATION LOUI SVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TRANSFER REDUCED T0 MATERIAL Copies to; Date Request Factory Cost Dept Account Number 2323222 Wrlter Developmenc Center L Lif Sample_DLSPosLtion Quantity Cartons St atus 9f 200_each Paid Pr_Free Sauple Stock RED 32 MR Method of Shipment Cigarette_Description Rek. 0 ,#s . ^1 77 $t Spectal Inst ucEiens_ & _Comment € 620745615 Completion Dace Signed Tax Frse",466,71
0000998917.tif,form,gaussian_noise,"DC RJ0 BROWN & WILLIAKSON TORACCO CORPORATION LOUI SVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TRANSFER REDUCED T0 MATERIAL Copies to; Date Request Factory Cost Dept Account Number 2323122 Wrlter Developmenc Center L LZ_ Sample_DLSPosLtion Quantity, Cartons Tax Status 9f200_each Paid_er_Free Savple Scock RED 32 MR Method Shipment Cigarette_Description ReL: @ Jm; . ~1 77 5f Spectal Inst uctiens_ Commence 620745615 Completion Dace Eil Signed FCes",462,66
0000998917.tif,form,salt_pepper,"{BROWN WILLIAYSQN  TTQBACCO' CQRFORATION LOU] SVILLE KENTUCKY 40z0i- SPEGTAL SAPLE;JANUFACTUNE SHUPMENT; RANSFER: REDUCED To MATERIAL Gopies Dabe of Request 'Factsry cost Dept pcgoung Wuiber_ 323Z02 Hriter peve] ojment Center Samili_PLspotiElon uantity Carton; SEacu3 oE1Q0 Gach Paid bt Erte; Sart lc stock: RED MB Methoa 6f, Stlpment_ cigarette Descr-ption_ ScecLil; IngtticEioui &' Commencg' 620745615 Completion Rate F{e",423,56
0000998917.tif,form,gaussian_blur,"BRORN io#5n,"" OTucG? COOZORATION SPECIAL SATLE HANUFACTURE Shiphent Taanseea AEduceo 10 #aTerial Copies Dat ( 0[ Reguest Fuctory Cost Dept . Account Nucber Ll4c2 Kricer Center 'ZZi  54e Ds2eut4on Quantitye Carcons ScaEus 0 200 cach Puld_0LHat 1 MkStesh 32 fecs Hethod 0f shipernt czurctts Detereilon Ral C#""T-5t Seeckal_Ingtquct lona Conaenqe 620745615 Coepletion Date Stened {0: JLaJL Tal RD",392,58
0000998917.tif,form,motion_blur,J2==7,5,1
0000998917.tif,form,rotation_5,"TOBACCO CORPORATION 40201 BRORN & ILLE , MANUFACTURE SHIPMENT TRANSFER To MATERIAL Date of Request 2223702 co: Account Nunber Copies Cost Dept Fuctory Hriter Center Deyelopment Sample_DLsposition Tax Sc atus Carcons Paid o1_Eree Quantity, 91 .200 Free Sarple_Scock 32 MR Cigarecce Rel. 0 m46 .""1 6 Comnenge Spectel_Instructions 620745615 Signed Date HLLIAYSON KESTUCKY LOUISV SAPLE ECIAL REDUCED  Lal each RED pmenc Shig Hethod 7754 DescELetdon Completion",455,66
0000998917.tif,form,rotation_10,"SON 10 Date co; Depc . Faccory Tax or e DL 91.200 Free 32 To Shi 0 De Long & Inst CORPORATION TORACCO 40201 KENTUCKY HLLIAYS SVILLE , BROHN 'ACTURE LOUIS HANUF SAYPLE ShipMent SPECIAL TRANSFER 3323222 MATERIAL Rerlest REDUCEO Nunber Account 'pies Cost Center Vriter opment Devel Scacus Fee Paid Cartons SPesAtien Quantity Sample each Scock Sarple RED MR 7~,4 pment Jm.'1 Hethod Rel. ECELPELS ciarette Coznente nud Speckal 620745615 2 SLgned Dace etion Comple",458,76
0000998917.tif,form,brightness,"BRONN WILLIAKSON TOKACCO CORPORATION LOUI SVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TRANSFER REDUCED T0 MATERIAL Copies to; Date Request Factory Cost Dept Accour:t Number 2323202 Writer Development Center Sample_DL sposltion Quantity, Cartons St atus 9f 200_each Paid er_Free Sample Stock RED 32 MR Method of Shipment Cigarette_Description ReL. 0 ,#s .^1 77 5y Special Inst ucEions Comment € 620745615 Completion Date Signec Tex Free",449,65
0000998917.tif,form,contrast,BRONN WILLIAKSON TORACCO CORPORATION LOUISVILLE KENTUCKY 40201 SPECIAL SAMPLE MANUFACTURE SHIPMENT TRANSFER AEDUCED T0 MATERIAL Copies to; Date Request Factory Cost Dept Accour:t Number 2323202 Writer Devel opmenc Center Sample_DL sposltion Quantity Car on $ Tax  St atus 9f 200_cach Pai er_Eree Sanp] Stock RED 3 MR Method Shipment Cizarette_Description ReL 0M4 .^1 7~ <t Spectal Inst cEiens Comment & 620745615 Completion Dace Signec Free,440,65
0001034071.tif,form,original,"3 48 BROHN XILLIAYSOH_BLD_REQUESL_EORH (QUANTLTATIVE_RESEARQL PROJECT NUMBER: InIL 2990-1 BeH ORIGINATOR: marY )Aaus To: AEAR RasmeeLLILEN4E1 Dix INSIRUCTIONS THE FOLLCHING DOCUMENT IS DIVIDED Into Tko SECTICNS_ SECTIOLOKE CCNTAINS THE PROJECT DESCRIPTIONS AMD SPECIFICATICNS FROY Bex _ ALL BIDS SHOULD BE BASED ON THE SPECIFICATIONS Im THIS DOCUMENT SECTION THQ SHOULD BE CCHPLETED BY THE RESEARCH AGencY AND RETURNED BY FAX TO THE FOLLOWING PERSON: NILLINGER Beh LOUISVILLE _ KEKTUCKY USA FaX KUHBER: 1-502-568-2182 Im ORDER To ALLON US To COHPARE KE REQUEST ThAT YCU SUBHIT BID FOR TKE RESEARCH AS SPECIFIED IM SECTIOY OYE SUGGESTIONS For ALTERNATE DESIGNS Froh THE_AGENCY ARE WELCOKED _ HOHEVER_ THESE SHOULO BE SUBHITTED AS SEPARATE DOCUMENTS APPENDED TO THIS BIO FORH YCU HavE Any QUESTIOHS_ PLEASE ContaCT THE FOLLCHIING PERSON: Maex AULS FAX NUMbER: 15o2-568-8092 QIHER_INEORMATIOH DATE REQUESTED: [ilio DEADLINE FOR  BID RECEIPT: ""9.[20 464511078 BIDS _",962,142
0001034071.tif,form,gaussian_noise,3 48 BROHN XILLAAYSOH_BLD_REQUESL_EORH (QVANTITATIVE_RESEARQL PROJECT NUMBER: INIL 290_Z Beh ORIGINATOR: MARY )Aaus To: AEAR_RasmecL_LILENGel Dix INSIRUCTIONS THE FOLLCHING DOCUMENT IS DIVIDED IntO Tko SECTICNS_ SECLIOLONE CCNTAINS THE PROJECT DESCRIPTIONS AND SPECIFICATICNS FROY Ber . ALL BIDS SHOULD BASEO ON THE SPECIFICATIONS Im THIS DOCUHEMT SECTION THQ SHOULD BE CCHPLETED By THE RESEARCH AGENCY AND RETURNED BY FAX To THE FOLLOWING PERSON: S. L. HILLINGER BEA LOUISVILLE_ KERTUCKY USA FAX HUMBER: 1-502-568-2187 Im ORdER To ALLCH US To COHPARE BIOS KE REQUEST ThAT YCU SUBHIT BID FOR TKE RESEARCH AS SPECIFIEO IM SECTIOY OXE SUGGESTIOWS For ALTERNATEDESIGNS Froh THE_AGENCY WELCOMED _ HCHEVER_ THESE SHOULO BE SUBHITTED AS SEPARATE DOCUMENTS APPENDED TO THIS BID FORA. If YCU HavE Any QUESTIOHS_ PLEASE ContaCT THE FOLLCNING PERSOM: Maey Daus FAX NUMBER: 1io2-568-8092 QIHERINEORHALICH DATE REQUESTED: [i[io DEADL INE FOR  BID RECEIPT: 279.720 464511078 ARE,965,141
0001034071.tif,form,salt_pepper,"BROKA: 7NELLIAHSOH REQUEST_FORR (QVANTHTAVEKE #ESEAqIi 'PRCJECT   NUMBERE {q 8wn ORIGINATOR : Marx_)Aavis To: ~AEAk  Riemeelhz ~4E_ fniStBdcICOKS . THE-FoELOHING DOCUHENT: ES. DIVIDED INfo Jhj SEctIcnS SECLIOKGNE ` CONTAtks 'Tiie PRO#ECT: OESCRTP fions' AND ' SPEcIFIcATICKS,FROY"" BEA ;   ALL BIDS :SHOULD 'BE BASEO  ON: Tie*SPEcIFICATIoHS' IA: THIS OXCJMENT SECTION. THQ' Shoiip BE:COHPZETED: TKE RESEARCH:  GENGY :AND .RETURNED FAX .TO JHE FOCLOHING PERSON; ""NIfLENGER BE4 LQJISVILLt _ Kixteky' USA FEX HuMBER: 1-502-562-7187 ORDER:  TO ALlon US, T0'COXPARE : BIDS WE REQUEST THAI, YoU Subhji `4} BID* FOR Tke RESEARCH AS . SPECIRIED :IN' .SECTION OYE StGGES TIOwS ' FOR ALTERIATE DESIGNS Fa6t; THE ' AGENc  *ARE; WELCOKED_ #oaever: TheSE SHOULD Be, SUEHITTED; AS SEPARATE COCUMENtS APPENDED Io . THIS' IQ:FORM_ 'EF:YOU: HAVE' ANy: QUESTICAS _ LEASE CONtAct: The . FOLLCHIING PERSO# Mar LLS FAX_ Niatr: 1502_568_8092 QiKER_LNEORiALICi 'REQUESTED: DEADLIHE' FOR: BIp: RECEIPF:_ [20 '464511078 'BLD ' ~DaTE""",1007,145
0001034071.tif,form,gaussian_blur,"348 DeDla WLLACODLD PIQULSL [Od (QUAITIATIVERESLLIQL PrQjecT Nukber: JiL L1O-7 24 Or/giaa104: marx_Aaavs T0: BLA_RunedL_LL_NtL DiX ESEKHALS THE fOllohing Momlnt [$ DIVIDLD Iato 1o SECTICUS . ScuaLoQAIAIAS WI Fodeci Descaipho s AadsptcIFICAOS FelE Gun lL bi0S SoudBlAstd OMlspecificnoas [ IAIS @acunT #F48 48razan %E Goftto % TNE ""EsCNOI Kr renaned 01 T0 ThL Folloriag Posor 4S. S. L Hilliec LQUISVILAE. TnOn 0I TMat : Lsor-Ss4-UU} CadlR 7855_ USI0 @rpaaBids AEalquEsT_Tt TQU Subhit BI0 I0r IhL 4S spicifito [n stciio O. SUEESO$ F03 ALIERAAIE DlsiICS F4i[ KGoci aac AlCo-@d MolvI MIs{ Suud Bl  Suahititd As SLPARAT[ Dookonts Nppdacd T0 TaIS For IIoU MM A QULSTIOtS. PLEASE CniacT Ike Following person Makx A FA Nurala: Lsk QUAL HORMIIQ CATL RLQULSIED: 3lilio EUD [AE F08 B[D RICEIPT: 379/20 464511075 Ko 016 DAVLS",812,129
0001034071.tif,form,motion_blur,=,1,1
0001034071.tif,form,rotation_5,"3 48 NILLIAYSOH_BLD 1990_L MArY )Aaus Ben ORIGINATOR: LIL Bix TO: AEAR INSIBUCTIOKS DIVIDED InTo THo FROY THE FOLLOHING Ahd SPECIFICATIO""S  CONTAIMS ThE PRSZECON THE 'SpEcificATions In THIS Si Shoui D BE BASED RETURNED BY Ber . ALL BIDS RESEARCH AGencY AnD COHPLETED By TkE THD SHOULD PERSON: TAX TO THE FOLLOWING HILLINGER BEa LQUISVILLE , USA NuHBER: 1-502-568-Z18Z FM BID Ke REQUEST THAT Yqu ORDER 1o US_TOcSFIPOREA PSPCfiov &x2, SPECIFIED ARE MELCOKED_ FOR Froh THE AGEnCY SUGGESTIONS Fo? sALUE6*aTE Besesyeo"" RS* SIPARATE DOCUMENTS SHOULO BE HOHEVER , THIS BID FORH CcntaCT The FOLLCHIKG PERSON: PLEASE YOU HAVE Any Maey LAVLS 8092 FaX NumbER: INEORHATIOH [1lio DATE REQUESTED: ""9.120 CEADLIME FoR BID RECEIPT: EORH REQUEST BROHM RESEARCH) (QUANTITATIVE InI'L NukbeR: PROJECT Nitel Basmec SECTICVS . DOCUHENT DOCUHENT _ DESCRIPTIONS SECLIOH SECTION KEXTUCKY SUBHIT BIOS  ALLOH RESEARCH TkE APPENDED THESE QUESTIONS , 150z-568-E QIHER 464511078",948,144
0001034071.tif,form,rotation_10,"48 )aaus Beh AEa& To: FROY TwO KhD On The And CHE aLL BIOS ETED BY BEh - Two Tax TO BE4 USA 502 BID TM YOU OME. US IO ARE ThE Tke FoR F0? THE BID FORH. THIs Any IF YQu Daus Meex FaX ""19:222 For BID EOBH REQUEST ~BD HILLINISOh RESEAROIL BECHN (QUANTITATIVE [990-7 INI'L DiX XUHBER: PROJECT MARY ENtel RasnecLALL ORIGINATCR: SECTIONS . SPECIFICATIONS InTO DOCUHENT . DIVIDED INSLAUCTOLS THIS DCUHENT DESCRIPTIONS SPECIFICATIONS FOLLOHING RETURNED PROJECT THE The aGeMcY COHIAINS BASEO RESCARCH SHOULd SECLOH THE CoHP SHOULD PeRSOH: HILLINGER _ FOLLCHING SECTIOM The KEXTUO LOUISVILLE. 568-210> KukbeR: SUBHIT That REQUEST BIOS COHPARE SECTIOY MELCOKED : APPENDED ALLOH SPECIFIED AgEncY DOOUHENTS OrdER RESEARCH FROH SEPARATE DESIGYS Alterhate SUBHITTED PeRSOM: SUGGESTIONS SHOULd FOLLOHING mHESE cohtacT HorEvER PLEASE QUESTIONS , HAvE 1502-551-8092 NuybER: Lilio JNEDRHAJIOA 464511078 QUHER REQUESTED: RECEIPT: EATE DEADLIME",923,141
0001034071.tif,form,brightness,"3 48 BROHN KILLAAKSOH_BID_REQUESL_EORH (QUANTITATIVE_RESEARQ PROJECT NUMBER: INIL 1990-7 BZN O3IGINATOR: maRY )Aaus To; AEAR RasmeoLLILEN&e1 Dix INSIRUCTIONS THE FOLLCHING DOCUMEnT IS DIVIDED Into Tho SECTICNS_ SECTIOMOKE CCHTAINS THE PROJECT DESCRIPTIOMS AMD SPECIFICATICHS FROY Beh _ ALL BIDS SHOULD BE BASED ON THE SPECIFICATIOHS Ik THIS DOCUHENT_ SECTION THQ SHOULD BE CCHPLETED BY THE RESCARCH AGenCY AnD RETURNED BY FAX TO THE FOLLOWING PERSON: HILLINGER Beh LCUISVILLE_ KEKTUCKY USA FAX KUMBER: 1-502-568-2187 Im ORDER To ALLOH US TO COHPARE HE REQUEST ThaT YCU SUBHIT BID FOR TKE RESEARCH AS SPECIFIED IN SECTION OYE_ SUGGESTIONS For ALTERNATE DESIGNS Froh ThE AGENCY ARE WELCOKED _ HCHEVER_ THESE SHOULD BE SUBHITTED AS SEPARATE COCUMENTS APPENDED TO THIS BID FORH_ YCU HavE Any QUESTIOHS_ PLEASE ContaCT THE FOLLCHIING PERSON: Maex LULS FAX NuMbcR: 1502-568-8092 QIHERINFORHATIOH DATE REQUESTED: Lilio DEADLINE FOR  BID RECEIPT: ""9.[20 464511078 BIOS",960,141
0001034071.tif,form,contrast,"2 48 BROHK KILLJAKSOH_BIDREQUEST_FORH (QUANTITATIVE RESEARQ PROJECT NUMBER: InZL 1990-1 BZN O3IGINATOR: marY )Aaus To; AEAR BEsueeL LIs Ncel Dix INSTRUCTIONS THE FOLLCHING DOCUMENT IS DIVIDED I0IO TMJ SECTICNS_ SECTION ONE CCNTAINS THE PROJECT DESCRIPTIOMS AMD SPECIFICATICNS FROY B&h ALL BIDS SHOULD BE BASED ON THE SPECIFICATIOHS Im THIS DOCUHENT_ SECTION THQ SHOULD BE CCHPLETED BY THE RESCARCH AGENCY AnD RETURNED BY FAX To THE FOLLOWING PERSON: L. HILLINGER LCUISVILLE KEKTUCKY USA FAX NUMBER: 1-502-568-7187 - In ORDER To ALLOH US To COHPARE BIOS HE REQUEST ThaT YCU SUBHIT BID FOR THE RESEARCH AS SPECIFIED In SECTIOY OYE SUGGESTIONS For ALTERNATE DESIGNS FroX THE AGENCY ARE WELCOKED . HCHEVER_ THESE SHOULD BE SUBHITTEO AS SEPARATE COCUMENTS APPENDED TO TKIS BID FORH_ YCU Have Any QUESTIOHS PLEASE COnTaCT THE FOLLCNIING PERSON: Mex 44LS FAX NuMBCR: 1-502-568-8092 QIHER INEORHATION DATE REQUESTED: [1lio_ DEADL[NE FOR  BID RECEIPT: ""9.120 464511078",959,146
0001046742.tif,form,original,"MRKETLNG RESEARCI_AUTHORIZATLC (Recommended Proposal Attached) pacl ; Uccober 468 Tuaceu CPI: Xuml Wesc; ApLiet Expandel Keseanc Kequest Lached Aauct :ed By : PoctiZ {2s Budgeted Competi4lye rodos 4 ObLained Cost Per EsL Coat (22 Travel Tutal Cost Ingervievt SuppLier 500 44 Fact?, SU0 Research 1QQ +7- 102 @QU JOnuO+ LOR 83,88 Kapuler_Harketlog_ Eci viseed length of Linit spent in field_ ~Depencen Lcon #rnoe Include [caLe [Tavel Gunmary of_MRD_Budget 1988 PROJECTED Tota/ Area Bucget 301_000 Internal Init . Dale 919/88_ Current Gal. Availablo: 065 Ext Date 1W Wavet $) 800 This Change (Fron Current Budgec) This Amovnt J2 Field Complete 120482 (From Nexe Year hudge: ) Wave( s) Kex Balance: (21,734.92} Final Report Duc 421i89 1,324,834 Comnitred ED Late: (Supplier Rpt (Currcrc Year) Have( 5) S4T2LC 5134 : 80d Recerpended Supphe Markel Facts Iuc Reason( 5 Reconuendune Lo-&1 bid Suboie Bmbll LJce Ielilax Bea- Date Approved By ; exeliksk  Date 'hy Approved Lew ton Waie LUC Budget (heck: JLit Hojar Original ?rojecr File Williugcr (3) Ptojecc Vo 1488 [QHKP Kopp_ Huiad Hansberty (If Int -) 4CCCUIL Vaie Kuol dbbg1001 465731739 Autl Vy : Zzfc",1147,183
0001046742.tif,form,gaussian_noise,"MARKETLNG RESEARCIL_AUTHORIZATLC (Reconmended Proposal Attached) acl Vcrober 1488 Descripl_: Ex2andel Tuaccu CPI: KojL %esea[@EqeL 4ackee Yes_ kcuct :ed Bx : # Hoerez {2$ Budgetec Compet 4Lye Foposal Oblained Cost Est Cost_(32 Travel Tucal Cost Intetvie SuppLier Eact?_ Su0 63.500 79.38 44 Rerarch 67.0Q +1Q QCU JU+~O 83.88 Kapu eatketon?_ idet viseed and length of LMc 6pent in feld. #Depencert #rnoe 1nclude escicaled [Tavel Guamjry of _MRD_Budget 1988 PROJPCTED Total Area Bucge 301,900 Interna Inin. #ale 91488_ 1W;7B8_ Curfent Bal . Wvailable: 29,065 Exr iuh . Date Wavel $) 50,800 This Change ; (Fron Current Budzec) This mount J12,200 Field Complete 12048 Nexe Year Hudge:) Nave( s} Kex Balance (24,234.22 Final Repoft Duc 427 i99 1,324,834,97 (Sepplier Rpt Cozoitted Eo Date: Wave( $) (Currcn- Year) 5272L9 5134= 8op Recargended_Supeliet Marke Facti Iuc Reasoc( $ TorRecomnendagicn Lov'e1 bid Subof Eed 2 Jce olzlix Bea Date LeltE Approved By : Cavel YAtush Date #hy Approved iewton Budget Uneck: cyuiz Dat e MUL Hojaro Original 7rjec File Wiiliugcr (3) Ptoject 1988-Q4KP Kopp= HaALd Hansterry (If Int Accoigi Yaide Kool dbbsIOQ1 465731739 Baalt B : 49",1160,181
0001046742.tif,form,salt_pepper,"RESEARCIL DTHORIZ Recominenurd- piCbas Retached Reouls @bleined Cogt Coat Trevel: 1itz  Cosi; Lucer SZEE Faci 824500 gou_ bi_ti #Jepenler 1eng4n {17e;Fper:= aJoets . Qoz 'Inelude Sitry ~RD_Budgt PRQJECTED - Toc/1 ci Budge Wcera :ivailab); 20@ IWs diaoge (Frop Cuirent Inis Amotio S Yom Jeit #udger_ Bafaice Lnal Kepo SpppI- Vivel$ jiopIc' Rcd ~dod SNpLe Rogsun 5, Kecom jdior 103 Vace Tora ""Dace. Ra Rroved Bucux eic Yeg-TQ4E ~liuac Kf Xql; 465731739 Spp-",455,72
0001046742.tif,form,gaussian_blur,"0t Mel ra 04l' LL4lL4"" 444 4uy' 46""L € #Ltla PropnaOhlalncd Coal Re 4244 (2 Garcu LLAlcoat Hated EELl4"" LAKlLL AL Lno4 Lo Hol We 32 AAX O7nnit Tntol I~ Nale uelude J4t Va _ DAB DJGDD Rad EaLct I . uue  16744 7e LJOL 0po100 Cautnt el. Aleehe. 19 06540} L. An:0ale JulAA Faea J0 000+00 Iale Charao# (7to2 Cufteal Dedael) Ihie Ant elioo Vle Cocelate Halce efoa Tea( Tear Pudeed) Favata) 44i 4122L.2 Mul Mrutt Dut MEba 4n4uiu (Suaelicr ""9{.) Corall( {0 Dale 3e) (Cuuent 1988 ) 609 D4te Ihzht Sutlte 08 2a_Bpth Appfoved Date LYlie Ic ZLL patd Lbl Approted 6de[ Oetha S Dale LL_ 05904 Toet Ptejet %o. Ma-lql""_ Gc! () DC a=ad D Si 1 Ccenizt dabeaicom 465731739 Fet n €",661,126
0001046742.tif,form,motion_blur,,0,0
